iter	Logloss
0	0.6722703553
1	0.6527768743
2	0.6270908477
3	0.6051546184
4	0.5871630926
5	0.5714649493
6	0.5566880369
7	0.5355780126
8	0.5148720944
9	0.4927478412
10	0.4723377753
11	0.4497216814
12	0.4329117896
13	0.420509707
14	0.4081503466
15	0.3954014091
16	0.3822305145
17	0.3715404808
18	0.3599795951
19	0.3496334569
20	0.3382472786
21	0.3306873433
22	0.3215427225
23	0.3123956673
24	0.302851413
25	0.2974704975
26	0.2892265673
27	0.2818478478
28	0.2745376394
29	0.2681047177
30	0.2621096702
31	0.2570550617
32	0.250246249
33	0.2410688874
34	0.2366415311
35	0.2329719997
36	0.2278502613
37	0.2218795646
38	0.2182449688
39	0.2120606433
40	0.2092059526
41	0.2047344679
42	0.1990992066
43	0.1924040551
44	0.1870011774
45	0.1826577912
46	0.1788428766
47	0.1747634292
48	0.1692191346
49	0.1666016896
50	0.1636079624
51	0.1609130774
52	0.1587097236
53	0.1566540712
54	0.1545284885
55	0.152144946
56	0.1493650024
57	0.1449826576
58	0.1426795506
59	0.140842378
60	0.1385675101
61	0.1364055116
62	0.133665651
63	0.1316139671
64	0.1293632063
65	0.126695499
66	0.124406684
67	0.1226836792
68	0.1211282382
69	0.118379076
70	0.1173087242
71	0.1148266991
72	0.1131671609
73	0.1119270997
74	0.1104543574
75	0.1088292508
76	0.1066641819
77	0.1058887314
78	0.1049248095
79	0.1035900885
80	0.1021600121
81	0.1006328485
82	0.09950304088
83	0.09749200363
84	0.09549493286
85	0.0940275718
86	0.0923551212
87	0.09109472492
88	0.0897484355
89	0.08809537959
90	0.08703113493
91	0.08514289977
92	0.08413429353
93	0.0830105431
94	0.08130153743
95	0.08024773162
96	0.07931857013
97	0.07823688415
98	0.07731003024
99	0.07695209191
100	0.07557954301
101	0.07543201807
102	0.0749722974
103	0.07452588601
104	0.07360298352
105	0.07250452925
106	0.07179536536
107	0.07088800774
108	0.07053274506
109	0.06983933375
110	0.06939071045
111	0.0685484233
112	0.06793881457
113	0.06734341831
114	0.06652727856
115	0.06582808716
116	0.06512511428
117	0.06444149652
118	0.06387225306
119	0.06348219937
120	0.06297381087
121	0.06220276009
122	0.06146845836
123	0.06086489179
124	0.06043940946
125	0.05981902682
126	0.05942457461
127	0.05869763428
128	0.05813373421
129	0.05777225994
130	0.05707981417
131	0.05655331144
132	0.05588023003
133	0.05557443601
134	0.05520950893
135	0.05474027383
136	0.05426808302
137	0.05372955675
138	0.0534172857
139	0.05285335192
140	0.05248879466
141	0.05179998755
142	0.05135423521
143	0.05105025959
144	0.05085698845
145	0.0504249248
146	0.04994523139
147	0.04953967501
148	0.04903946374
149	0.04850500767
150	0.0480137315
151	0.0474196819
152	0.0469689934
153	0.04669884957
154	0.04631541089
155	0.04582454776
156	0.04546864353
157	0.04545440848
158	0.04497315325
159	0.04456044353
160	0.04422752707
161	0.04418346327
162	0.04405851678
163	0.04377453843
164	0.04369603554
165	0.04336454717
166	0.0433020865
167	0.04297774965
168	0.04263344016
169	0.04224136767
170	0.04183940483
171	0.04155737408
172	0.04128185747
173	0.04124346744
174	0.04081546783
175	0.04044561715
176	0.04017929007
